Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment
1693,3,12,71.9,4,3,2,432
1694,455,6,37.800000000000004,1,1,1,111
1695,329,2,20.6,1,1,1,111
1696,87,13,81.94999999999999,3,3,3,333
1697,43,15,78.65999999999998,4,4,3,443
1698,161,9,55.040000000000006,2,2,2,222
1699,96,10,98.39999999999999,3,3,3,333
1700,61,4,18.64,3,1,1,311
1701,227,2,37.900000000000006,2,1,1,211
1702,350,13,75.9,1,3,3,133
1703,312,14,125.60000000000002,1,4,4,144
1705,79,8,50.85,3,2,2,322
1706,138,14,155.0,3,4,4,344
1707,204,4,24.5,2,1,1,211
1708,2,16,159.39999999999998,4,4,4,444
1709,252,4,34.4,2,1,1,211
1710,25,6,100.0,4,1,3,413
1711,38,19,163.66,4,4,4,444
1712,487,5,79.1,1,1,3,113
1714,150,5,44.4,2,1,2,212
1715,179,17,284.89,2,4,4,244
1716,501,8,101.2,1,2,3,123
1717,51,8,55.3,4,2,2,422
1718,291,7,62.95,1,2,2,122
1719,104,13,85.83999999999999,3,3,3,333
1720,25,7,39.040000000000006,4,2,1,421
1721,76,6,11.8,3,1,1,311
1722,125,14,69.25,3,4,2,342
1723,22,10,87.33999999999999,4,3,3,433
1724,112,11,107.00000000000003,3,3,3,333
1725,429,6,82.35,1,1,3,113
1726,4,13,132.1,4,3,4,434
1727,165,6,32.400000000000006,2,1,1,211
1728,137,7,41.1,3,2,1,321
1729,15,15,174.7,4,4,4,444
1730,5,8,43.0,4,2,1,421
1731,40,12,97.2,4,3,3,433
1732,215,7,50.0,2,2,2,222
1733,190,17,133.60000000000002,2,4,4,244
1734,170,17,181.0,2,4,4,244
1735,511,5,104.00000000000001,1,1,3,113
1736,123,12,82.99999999999999,3,3,3,333
1737,116,21,156.95,3,4,4,344
1738,455,8,40.85000000000001,1,2,1,121
1739,213,4,55.900000000000006,2,1,2,212
1740,404,16,125.8,1,4,4,144
1741,10,13,117.6,4,3,4,434
1742,18,9,111.7,4,2,3,423
1743,47,14,86.59999999999998,4,4,3,443
1744,93,4,7.65,3,1,1,311
1745,648,2,14.4,1,1,1,111
1746,77,10,49.5,3,3,2,332
1747,378,11,67.2,1,3,2,132
1748,297,19,85.79999999999998,1,4,3,143
1749,360,8,87.34,1,2,3,123
1750,325,12,112.96000000000001,1,3,3,133
1751,280,10,58.900000000000006,2,3,2,232
1752,255,10,48.6,2,3,2,232
1753,131,17,124.50000000000001,3,4,4,344
1754,104,14,108.8,3,4,3,343
1755,574,4,16.900000000000002,1,1,1,111
1756,98,9,72.6,3,2,2,322
1757,7,15,107.99999999999999,4,4,3,443
1758,307,14,127.83999999999997,1,4,4,144
1759,95,12,127.80000000000001,3,3,4,334
1760,341,8,50.800000000000004,1,2,2,122
1761,89,18,228.21999999999997,3,4,4,344
1762,182,4,11.0,2,1,1,211
1763,3,7,57.449999999999996,4,2,2,422
1764,45,11,58.599999999999994,4,3,2,432
1765,294,8,112.8,1,2,3,123
1766,343,5,79.75,1,1,3,113
1767,67,12,102.36,3,3,3,333
1768,117,20,125.01000000000002,3,4,4,344
1769,0,5,26.8,4,1,1,411
1770,41,10,45.52,4,3,2,432
1771,282,6,34.0,1,1,1,111
1772,58,8,57.49999999999999,3,2,2,322
1773,59,9,71.1,3,2,2,322
1774,145,12,62.650000000000006,2,3,2,232
1775,80,2,41.39999999999999,3,1,1,311
1776,259,14,109.30000000000001,2,4,3,243
1777,27,20,185.9,4,4,4,444
1778,373,6,85.3,1,1,3,113
1779,63,9,101.1,3,2,3,323
1780,78,21,119.05000000000001,3,4,4,344
1781,207,6,65.46000000000001,2,1,2,212
1782,81,13,164.20000000000005,3,3,4,334
1783,176,18,126.24,2,4,4,244
1784,95,7,66.69999999999999,3,2,2,322
1785,9,20,196.29999999999998,4,4,4,444
1786,323,6,24.3,1,1,1,111
1787,60,13,232.70000000000002,3,3,4,334
1788,10,16,105.55000000000001,4,4,3,443
1789,69,10,100.4,3,3,3,333
1790,276,4,22.700000000000003,2,1,1,211
1791,454,8,59.4,1,2,2,122
1792,137,13,182.84000000000003,3,3,4,334
1793,26,25,345.1000000000001,4,4,4,444
1794,104,5,26.300000000000004,3,1,1,311
1795,271,4,65.75,2,1,2,212
1796,57,14,86.4,4,4,3,443
1797,411,11,92.09,1,3,3,133
1798,363,17,135.2,1,4,4,144
1799,94,9,46.82000000000001,3,2,2,322
1800,152,12,81.4,2,3,3,233
1801,201,11,47.3,2,3,2,232
1803,232,9,53.9,2,2,2,222
1804,30,9,81.9,4,2,3,423
1805,204,7,42.300000000000004,2,2,1,221
1806,177,11,109.22,2,3,3,233
1807,12,6,85.7,4,1,3,413
1808,162,10,109.79999999999998,2,3,3,233
1809,429,6,38.4,1,1,1,111
1810,443,12,107.20000000000002,1,3,3,133
1811,98,18,145.3,3,4,4,344
1812,77,4,49.80000000000001,3,1,2,312
1813,394,3,50.9,1,1,2,112
1814,40,12,97.4,4,3,3,433
1815,122,11,67.3,3,3,2,332
1816,496,10,88.11,1,3,3,133
1817,131,12,133.20000000000002,3,3,4,334
1818,111,10,48.60000000000001,3,3,2,332
1819,12,17,206.9,4,4,4,444
1820,267,10,85.39999999999998,2,3,3,233
1821,223,8,140.20000000000002,2,2,4,224
1822,302,13,68.9,1,3,2,132
1823,33,11,120.9,4,3,4,434
1824,59,9,70.4,3,2,2,322
1825,39,13,104.89999999999998,4,3,3,433
1826,376,2,11.700000000000001,1,1,1,111
1827,182,23,158.6,2,4,4,244
1828,281,9,38.25,1,2,1,121
1829,194,9,74.19999999999999,2,2,2,222
1830,348,4,36.5,1,1,1,111
1831,355,7,67.15,1,2,2,122
1832,43,16,154.75000000000003,4,4,4,444
1833,159,10,80.8,2,3,3,233
1834,38,7,72.16,4,2,2,422
1835,191,10,106.63999999999999,2,3,3,233
1836,113,6,95.0,3,1,3,313
1837,174,12,87.75,2,3,3,233
1838,280,10,91.9,2,3,3,233
1839,82,11,142.20000000000002,3,3,4,334
1840,367,5,40.89999999999999,1,1,1,111
1841,234,4,28.599999999999998,2,1,1,211
1842,310,6,45.8,1,1,2,112
1843,24,9,56.650000000000006,4,2,2,422
1844,47,15,109.72,4,4,3,443
1845,145,7,20.0,2,2,1,221
1846,31,12,62.5,4,3,2,432
1847,257,9,60.05,2,2,2,222
1848,177,8,47.25,2,2,2,222
1849,188,8,61.42,2,2,2,222
1850,294,8,99.19999999999999,1,2,3,123
1851,172,10,82.0,2,3,3,233
1852,478,10,56.31999999999999,1,3,2,132
1853,213,9,126.1,2,2,4,224
1854,157,6,38.7,2,1,1,211
1855,51,13,160.64999999999998,4,3,4,434
1856,65,8,95.9,3,2,3,323
1857,111,5,80.7,3,1,3,313
1858,249,5,38.7,2,1,1,211
1859,216,11,161.39999999999998,2,3,4,234
1860,522,4,14.700000000000001,1,1,1,111
1861,140,5,32.9,3,1,1,311
1862,116,15,225.64999999999998,3,4,4,344
1863,148,14,110.60000000000001,2,4,3,243
1864,94,8,61.6,3,2,2,322
1865,27,14,146.6,4,4,4,444
1866,52,18,244.50000000000006,4,4,4,444
1867,276,11,67.7,2,3,2,232
1868,424,7,68.5,1,2,2,122
1869,228,11,50.99999999999999,2,3,2,232
1870,112,25,257.54,3,4,4,344
1871,381,2,21.9,1,1,1,111
1872,128,10,47.7,3,3,2,332
1873,102,6,45.300000000000004,3,1,2,312
1874,154,9,35.9,2,2,1,221
1875,154,5,69.9,2,1,2,212
1876,197,2,25.299999999999997,2,1,1,211
1877,456,11,43.22,1,3,1,131
1878,33,21,127.60999999999997,4,4,4,444
1879,417,8,34.4,1,2,1,121
1880,106,4,18.8,3,1,1,311
1881,76,11,51.05,3,3,2,332
1882,96,6,97.39999999999999,3,1,3,313
1883,55,10,66.7,4,3,2,432
1884,19,12,105.04999999999998,4,3,3,433
1885,5,11,78.5,4,3,3,433
1886,28,4,22.560000000000002,4,1,1,411
1887,51,22,185.79999999999998,4,4,4,444
1888,207,14,183.1,2,4,4,244
1889,124,18,240.15000000000003,3,4,4,344
1890,217,8,197.20000000000005,2,2,4,224
1891,543,6,22.8,1,1,1,111
1892,40,15,109.12,4,4,3,443
1893,270,8,92.3,2,2,3,223
1894,88,14,141.2,3,4,4,344
1895,402,13,118.38000000000002,1,3,4,134
1896,379,12,111.30000000000001,1,3,3,133
1897,339,8,47.4,1,2,2,122
1898,414,2,12.8,1,1,1,111
1899,67,12,93.63999999999997,3,3,3,333
1900,97,10,74.44000000000001,3,3,2,332
1901,31,12,99.19999999999999,4,3,3,433
1902,29,7,59.220000000000006,4,2,2,422
1903,295,10,62.45,1,3,2,132
1904,256,6,61.2,2,1,2,212
1905,73,26,253.51000000000002,3,4,4,344
1907,164,5,51.2,2,1,2,212
1908,157,20,180.64,2,4,4,244
1909,121,7,44.800000000000004,3,2,2,322
1910,61,10,85.6,3,3,3,333
1911,211,7,74.66,2,2,2,222
1912,130,6,55.099999999999994,3,1,2,312
1913,134,16,195.70000000000005,3,4,4,344
1914,209,7,36.550000000000004,2,2,1,221
1915,145,4,13.0,2,1,1,211
1916,44,7,34.650000000000006,4,2,1,421
1917,154,11,137.0,2,3,4,234
1918,92,4,70.4,3,1,2,312
1919,134,4,39.6,3,1,1,311
1920,317,6,30.0,1,1,1,111
1921,49,14,193.0,4,4,4,444
1922,84,19,98.89999999999999,3,4,3,343
1923,24,12,93.15,4,3,3,433
1924,43,14,72.99,4,4,2,442
1925,575,2,10.700000000000001,1,1,1,111
1926,75,6,65.0,3,1,2,312
1927,229,6,38.6,2,1,1,211
1928,104,9,99.80000000000001,3,2,3,323
1929,173,21,126.90000000000002,2,4,4,244
1930,45,13,115.30000000000003,4,3,4,434
1931,82,16,157.7,3,4,4,344
1932,114,20,179.8,3,4,4,344
1933,435,2,16.2,1,1,1,111
1934,146,19,185.8,2,4,4,244
1935,489,11,49.6,1,3,2,132
1936,137,6,42.199999999999996,3,1,1,311
1937,74,13,67.8,3,3,2,332
1938,236,10,72.0,2,3,2,232
1939,61,14,137.52,3,4,4,344
1940,42,11,204.14999999999998,4,3,4,434
1941,105,5,36.6,3,1,1,311
1942,441,4,39.0,1,1,1,111
1943,91,20,140.85999999999996,3,4,4,344
1944,121,4,21.7,3,1,1,311
1945,244,14,115.89999999999999,2,4,4,244
1946,22,12,110.50000000000001,4,3,3,433
1947,532,9,112.0,1,2,3,123
1948,127,22,135.15,3,4,4,344
1949,161,15,219.79999999999998,2,4,4,244
1950,49,10,43.35000000000001,4,3,1,431
1951,69,6,108.10000000000001,3,1,3,313
1952,37,10,85.30000000000001,4,3,3,433
1953,296,4,57.2,1,1,2,112
1954,146,11,114.62000000000002,2,3,3,233
1955,320,8,76.12,1,2,3,123
1956,716,2,11.3,1,1,1,111
1957,333,4,20.800000000000004,1,1,1,111
1958,180,7,101.50000000000001,2,2,3,223
1959,17,19,160.6,4,4,4,444
1960,355,4,25.2,1,1,1,111
1961,15,12,54.9,4,3,2,432
1962,205,10,70.79999999999998,2,3,2,232
1963,0,2,11.100000000000001,4,1,1,411
1964,394,10,53.17,1,3,2,132
1965,148,4,44.2,2,1,2,212
1966,433,16,91.24000000000001,1,4,3,143
1967,64,15,93.95,3,4,3,343
1968,88,11,101.0,3,3,3,333
1969,160,14,76.76,2,4,3,243
1970,567,9,100.69999999999999,1,2,3,123
1971,103,8,120.55,3,2,4,324
1972,211,5,25.900000000000002,2,1,1,211
1973,67,2,114.9,3,1,3,313
1974,241,5,76.6,2,1,3,213
1975,95,4,23.3,3,1,1,311
1976,77,3,6.7,3,1,1,311
1977,352,3,41.9,1,1,1,111
1978,299,6,105.89999999999999,1,1,3,113
1979,39,17,193.70000000000005,4,4,4,444
1980,76,10,49.83000000000001,3,3,2,332
1981,60,4,54.7,3,1,2,312
1982,16,7,89.2,4,2,3,423
1983,143,16,199.60000000000002,2,4,4,244
1985,34,8,39.75,4,2,1,421
1987,76,9,76.0,3,2,3,323
1988,113,6,56.9,3,1,2,312
1989,112,2,7.6000000000000005,3,1,1,311
1990,151,6,42.2,2,1,1,211
1991,21,23,201.20000000000002,4,4,4,444
1992,124,8,103.8,3,2,3,323
1993,175,9,81.9,2,2,3,223
1994,86,14,86.69999999999999,3,4,3,343
1995,201,17,61.81999999999999,2,4,2,242
1996,234,10,51.75,2,3,2,232
1997,2,21,150.12000000000003,4,4,4,444
1998,226,27,168.05,2,4,4,244
1999,128,16,159.24,3,4,4,344
2000,129,7,82.4,3,2,3,323
2001,112,20,267.32000000000005,3,4,4,344
2002,71,7,47.300000000000004,3,2,2,322
2003,37,6,44.699999999999996,4,1,2,412
2004,131,13,118.8,3,3,4,334
2005,99,13,83.99,3,3,3,333
2006,22,4,32.0,4,1,1,411
2007,37,6,51.849999999999994,4,1,2,412
2008,70,6,11.65,3,1,1,311
2009,80,6,49.400000000000006,3,1,2,312
2010,11,12,55.34,4,3,2,432
2011,7,18,86.86000000000001,4,4,3,443
2012,276,4,13.2,2,1,1,211
2013,122,7,32.45,3,2,1,321
2014,190,19,84.50000000000001,2,4,3,243
2015,232,4,22.6,2,1,1,211
2016,137,4,47.60000000000001,3,1,2,312
2017,68,16,180.39999999999998,3,4,4,344
2018,127,13,139.6,3,3,4,334
2019,46,18,91.09999999999998,4,4,3,443
2020,41,9,67.8,4,2,2,422
2021,352,2,20.6,1,1,1,111
2022,161,23,260.7,2,4,4,244
2023,121,7,64.1,3,2,2,322
2024,527,4,10.25,1,1,1,111
2025,412,8,73.4,1,2,2,122
2026,411,4,75.2,1,1,3,113
2027,447,5,41.2,1,1,1,111
2028,10,13,134.29000000000002,4,3,4,434
2029,175,11,86.7,2,3,3,233
2030,117,7,33.22,3,2,1,321
2031,307,14,157.00000000000003,1,4,4,144
2032,155,7,54.449999999999996,2,2,2,222
2033,319,11,201.50000000000003,1,3,4,134
2034,80,6,62.46000000000001,3,1,2,312
2035,7,11,113.21999999999997,4,3,3,433
2036,490,6,32.3,1,1,1,111
2037,255,8,101.94999999999999,2,2,3,223
2038,227,10,76.94999999999999,2,3,3,233
2039,99,4,47.4,3,1,2,312
2040,84,15,140.0,3,4,4,344
2041,97,15,165.5,3,4,4,344
2042,41,14,139.23999999999998,4,4,4,444
2043,253,16,113.55999999999999,2,4,3,243
2044,14,9,66.01,4,2,2,422
2045,23,15,148.4,4,4,4,444
2046,131,5,35.25,3,1,1,311
2047,10,12,96.80000000000001,4,3,3,433
2048,14,12,73.2,4,3,2,432
2049,84,9,95.30000000000001,3,2,3,323
2050,185,4,23.9,2,1,1,211
2051,46,33,284.90000000000003,4,4,4,444
2053,100,8,32.2,3,2,1,321
2054,15,12,95.12,4,3,3,433
2055,52,17,101.85,4,4,3,443
2056,36,18,145.23,4,4,4,444
2057,47,5,32.540000000000006,4,1,1,411
2058,209,12,65.75999999999999,2,3,2,232
2059,479,9,165.34999999999997,1,2,4,124
2060,157,5,36.4,2,1,1,211
2061,3,11,127.6,4,3,4,434
2062,99,8,48.11,3,2,2,322
2063,33,13,116.9,4,3,4,434
2064,131,8,53.0,3,2,2,322
2065,342,14,84.0,1,4,3,143
2066,223,12,137.70000000000002,2,3,4,234
2067,140,9,36.54,3,2,1,321
2068,206,12,81.64999999999999,2,3,3,233
2069,181,10,146.1,2,3,4,234
2070,11,24,223.85,4,4,4,444
2071,77,10,82.66,3,3,3,333
2072,32,13,96.2,4,3,3,433
2073,195,9,83.64999999999999,2,2,3,223
2074,10,11,55.2,4,3,2,432
2075,344,6,18.0,1,1,1,111
2076,26,8,58.00000000000001,4,2,2,422
2077,229,15,170.9,2,4,4,244
2078,75,6,59.040000000000006,3,1,2,312
2079,164,14,168.41,2,4,4,244
2080,253,5,53.599999999999994,2,1,2,212
2081,342,10,103.0,1,3,3,133
2082,37,10,45.90000000000001,4,3,2,432
2083,53,12,108.0,4,3,3,433
2084,137,4,27.099999999999998,3,1,1,311
2085,252,8,66.7,2,2,2,222
2086,211,20,182.4,2,4,4,244
2087,265,10,70.00000000000001,2,3,2,232
2088,324,5,32.699999999999996,1,1,1,111
2089,60,16,161.3,3,4,4,344
2091,72,11,69.4,3,3,2,332
2092,54,17,96.3,4,4,3,443
2093,201,16,159.3,2,4,4,244
2094,602,6,34.44,1,1,1,111
2095,92,6,38.19999999999999,3,1,1,311
2096,339,2,8.600000000000001,1,1,1,111
2097,90,11,111.27000000000002,3,3,3,333
2098,436,7,35.800000000000004,1,2,1,121
2100,78,15,151.14000000000001,3,4,4,344
2101,10,11,39.6,4,3,1,431
2102,234,12,108.50000000000001,2,3,3,233
2103,294,2,20.549999999999997,1,1,1,111
2104,71,9,110.4,3,2,3,323
2105,343,5,72.06,1,1,2,112
2106,36,12,56.39999999999999,4,3,2,432
2107,33,19,112.99999999999997,4,4,3,443
2108,90,7,60.89999999999999,3,2,2,322
2109,63,10,51.9,3,3,2,332
2110,154,8,81.5,2,2,3,223
2111,308,8,63.510000000000005,1,2,2,122
2112,572,4,19.0,1,1,1,111
2113,114,8,44.6,3,2,2,322
2114,54,6,33.3,4,1,1,411
2115,42,7,61.400000000000006,4,2,2,422
2116,123,4,12.1,3,1,1,311
2117,53,13,146.27999999999997,4,3,4,434
2118,165,5,68.19999999999999,2,1,2,212
2119,97,8,69.2,3,2,2,322
2120,84,14,180.0,3,4,4,344
2121,422,4,20.6,1,1,1,111
2122,267,10,82.15,2,3,3,233
2123,572,3,38.6,1,1,1,111
2125,188,6,60.89999999999999,2,1,2,212
2126,612,2,49.00000000000001,1,1,2,112
2127,41,12,95.22,4,3,3,433
2128,142,11,111.22999999999998,2,3,3,233
2129,141,16,115.9,3,4,4,344
2131,125,12,90.00000000000001,3,3,3,333
2132,376,11,76.20000000000002,1,3,3,133
2133,147,16,169.95999999999998,2,4,4,244
2134,95,7,69.39999999999999,3,2,2,322
2135,339,8,62.800000000000004,1,2,2,122
2136,323,2,9.0,1,1,1,111
2137,614,4,93.30000000000001,1,1,3,113
2138,301,18,221.86000000000004,1,4,4,144
2139,258,12,81.60000000000001,2,3,3,233
2140,0,6,22.700000000000003,4,1,1,411
2141,297,9,30.999999999999996,1,2,1,121
2142,188,19,156.00000000000003,2,4,4,244
2143,158,7,49.3,2,2,2,222
2144,359,10,148.6,1,3,4,134
2145,18,5,16.8,4,1,1,411
2146,193,6,72.9,2,1,2,212
2147,48,9,53.599999999999994,4,2,2,422
2148,164,10,62.25,2,3,2,232
2149,221,9,93.00000000000001,2,2,3,223
2151,92,11,176.94000000000003,3,3,4,334
2152,118,12,81.3,3,3,3,333
2153,381,4,17.09,1,1,1,111
2154,290,11,97.69999999999999,1,3,3,133
2155,414,8,40.400000000000006,1,2,1,121
2156,145,9,44.2,2,2,2,222
2157,62,11,120.56,3,3,4,334
2158,151,11,56.800000000000004,2,3,2,232
2159,166,8,80.06,2,2,3,223
2160,85,12,126.96000000000001,3,3,4,334
2161,462,4,19.92,1,1,1,111
2162,194,10,107.49999999999999,2,3,3,233
2164,36,25,155.60000000000002,4,4,4,444
2165,115,12,65.3,3,3,2,332
2166,20,15,117.74999999999999,4,4,4,444
2167,22,9,122.4,4,2,4,424
2168,35,7,40.95,4,2,1,421
2169,59,11,83.4,3,3,3,333
2170,195,10,94.45,2,3,3,233
2171,118,18,187.50000000000003,3,4,4,344
2172,303,5,59.80000000000001,1,1,2,112
2173,141,4,40.1,3,1,1,311
2174,468,7,30.8,1,2,1,121
2175,299,13,102.51999999999998,1,3,3,133
2176,144,13,108.80000000000001,2,3,3,233
2177,454,6,43.85,1,1,2,112
2178,10,11,177.1,4,3,4,434
2179,258,4,41.15,2,1,1,211
2180,377,5,21.1,1,1,1,111
2181,190,7,73.6,2,2,2,222
2183,366,7,45.6,1,2,2,122
2184,23,24,241.86,4,4,4,444
2185,80,11,69.9,3,3,2,332
2186,120,20,128.25,3,4,4,344
2187,136,6,37.75,3,1,1,311
2188,32,10,74.75,4,3,2,432
2190,80,6,39.1,3,1,1,311
2191,50,10,101.66999999999999,4,3,3,433
2192,323,5,27.3,1,1,1,111
2193,91,27,361.44999999999993,3,4,4,344
2194,208,15,127.91,2,4,4,244
2195,173,8,58.760000000000005,2,2,2,222
2196,82,14,103.4,3,4,3,343
2197,542,2,13.8,1,1,1,111
2198,507,2,22.8,1,1,1,111
2199,576,4,33.0,1,1,1,111
2200,81,10,94.89999999999999,3,3,3,333
2201,222,14,117.65,2,4,4,244
2202,93,13,169.45000000000002,3,3,4,334
2203,186,2,64.2,2,1,2,212
2204,94,12,108.60000000000002,3,3,3,333
2205,298,8,54.300000000000004,1,2,2,122
2206,74,7,40.5,3,2,1,321
2207,266,8,74.2,2,2,2,222
2208,153,8,95.80000000000001,2,2,3,223
2209,88,14,156.4,3,4,4,344
2210,96,19,277.35,3,4,4,344
2211,31,13,74.3,4,3,2,432
2212,63,12,88.4,3,3,3,333
2213,492,2,5.300000000000001,1,1,1,111
2214,345,4,30.599999999999998,1,1,1,111
2215,34,14,128.79999999999998,4,4,4,444
2216,43,2,24.2,4,1,1,411
2217,28,8,91.05000000000001,4,2,3,423
2218,181,13,80.6,2,3,3,233
2219,257,6,19.200000000000003,2,1,1,211
2220,148,6,28.200000000000003,2,1,1,211
2221,12,6,83.42000000000002,4,1,3,413
2222,2,19,170.95000000000002,4,4,4,444
2225,246,10,82.5,2,3,3,233
2226,296,13,108.10000000000002,1,3,3,133
2227,193,5,27.7,2,1,1,211
2228,214,4,45.66,2,1,2,212
2229,8,22,210.51000000000002,4,4,4,444
2230,216,18,195.90000000000006,2,4,4,244
2231,27,15,109.2,4,4,3,443
2232,238,14,155.7,2,4,4,244
2233,124,9,86.04999999999998,3,2,3,323
2234,6,21,166.0,4,4,4,444
2235,66,13,113.35000000000001,3,3,3,333
2236,330,14,119.72,1,4,4,144
2237,324,9,89.6,1,2,3,123
2238,24,13,105.30000000000003,4,3,3,433
2239,17,12,69.41,4,3,2,432
2240,29,12,81.53999999999999,4,3,3,433
2241,73,9,78.9,3,2,3,323
2242,208,12,87.82000000000002,2,3,3,233
2243,106,10,74.9,3,3,3,333
2244,276,15,141.79999999999998,2,4,4,244
2245,229,8,98.56000000000002,2,2,3,223
2246,123,5,108.30000000000001,3,1,3,313
2247,213,11,68.15,2,3,2,232
2248,288,2,4.4,1,1,1,111
2249,215,4,55.1,2,1,2,212
2250,76,8,73.4,3,2,2,322
2251,190,16,205.00000000000003,2,4,4,244
2252,83,21,134.57000000000002,3,4,4,344
2253,162,6,34.3,2,1,1,211
2254,340,12,135.7,1,3,4,134
2255,12,12,105.85000000000001,4,3,3,433
2256,131,9,85.35,3,2,3,323
2257,229,8,64.9,2,2,2,222
2258,437,7,33.3,1,2,1,121
2259,562,7,29.75,1,2,1,121
2260,61,8,62.75,3,2,2,322
2261,184,13,65.5,2,3,2,232
2262,56,10,108.95000000000002,4,3,3,433
2263,181,2,39.9,2,1,1,211
2264,352,8,59.2,1,2,2,122
2265,96,14,93.85,3,4,3,343
2266,91,9,86.30000000000001,3,2,3,323
2267,49,15,161.40000000000003,4,4,4,444
2269,101,6,81.90000000000002,3,1,3,313
2270,91,22,222.4,3,4,4,344
2271,40,31,241.8,4,4,4,444
2272,116,13,142.0,3,3,4,334
2273,33,14,89.0,4,4,3,443
2274,359,11,79.34,1,3,3,133
2275,150,4,33.32,2,1,1,211
2276,353,7,58.70000000000001,1,2,2,122
2277,346,7,89.46,1,2,3,123
2278,142,6,42.84,2,1,1,211
2279,400,8,90.6,1,2,3,123
2280,353,4,35.5,1,1,1,111
2281,64,2,53.7,3,1,2,312
2282,233,3,57.599999999999994,2,1,2,212
2283,346,7,38.42,1,2,1,121
2284,287,13,131.39999999999998,1,3,4,134
2285,14,4,26.2,4,1,1,411
2286,26,6,99.89999999999999,4,1,3,413
2287,14,8,84.2,4,2,3,423
2288,213,12,83.11999999999999,2,3,3,233
2289,56,16,137.83999999999997,4,4,4,444
2290,111,11,94.2,3,3,3,333
2291,101,12,97.85,3,3,3,333
2292,280,2,12.4,2,1,1,211
2293,11,19,140.56,4,4,4,444
2294,98,23,205.59999999999997,3,4,4,344
2295,2,10,47.9,4,3,2,432
2296,566,2,5.35,1,1,1,111
2297,304,2,5.92,1,1,1,111
2298,85,20,166.79999999999998,3,4,4,344
2299,50,8,73.47,4,2,2,422
2300,102,10,107.3,3,3,3,333
2301,6,9,39.35,4,2,1,421
2302,700,2,6.0,1,1,1,111
2303,518,6,122.6,1,1,4,114
2304,182,2,6.4,2,1,1,211
2305,93,7,102.34,3,2,3,323
2306,82,13,93.53999999999999,3,3,3,333
2307,184,11,121.62,2,3,4,234
2308,476,6,28.6,1,1,1,111
2309,1,12,64.07,4,3,2,432
2310,281,16,137.68,1,4,4,144
2311,59,18,127.69999999999999,3,4,4,344
2312,229,9,74.5,2,2,2,222
2313,315,5,38.54,1,1,1,111
2314,35,10,67.3,4,3,2,432
2315,10,14,128.42,4,4,4,444
2316,205,6,83.16,2,1,3,213
2318,348,6,33.7,1,1,1,111
2319,234,7,84.5,2,2,3,223
2320,387,10,110.9,1,3,3,133
2321,197,13,121.20000000000002,2,3,4,234
2322,683,4,24.8,1,1,1,111
2323,368,6,52.300000000000004,1,1,2,112
2324,134,6,41.6,3,1,1,311
2325,258,15,110.58,2,4,3,243
2326,31,9,57.300000000000004,4,2,2,422
2327,22,10,78.0,4,3,3,433
2328,311,7,69.69999999999999,1,2,2,122
2329,168,4,30.299999999999997,2,1,1,211
2330,420,4,17.400000000000002,1,1,1,111
2331,32,13,82.22,4,3,3,433
2332,15,13,97.8,4,3,3,433
2334,668,5,27.0,1,1,1,111
2335,160,5,30.2,2,1,1,211
2336,84,11,120.83999999999999,3,3,4,334
2337,137,13,105.80000000000001,3,3,3,333
2338,22,11,121.20000000000002,4,3,4,434
2339,589,10,110.0,1,3,3,133
2340,32,18,134.4,4,4,4,444
2341,373,10,115.02,1,3,3,133
2342,376,4,26.3,1,1,1,111
2343,214,9,37.099999999999994,2,2,1,221
2344,13,25,230.00000000000003,4,4,4,444
2345,13,10,51.50000000000001,4,3,2,432
2346,104,15,191.89999999999998,3,4,4,344
2347,337,4,33.300000000000004,1,1,1,111
2348,19,18,158.90999999999997,4,4,4,444
2349,166,16,116.32,2,4,4,244
2350,579,4,10.5,1,1,1,111
2351,358,6,62.64000000000001,1,1,2,112
2352,239,6,53.09,2,1,2,212
2353,242,9,50.7,2,2,2,222
2354,497,6,15.3,1,1,1,111
2355,159,12,89.69999999999999,2,3,3,233
2356,121,14,129.0,3,4,4,344
2357,98,20,165.85,3,4,4,344
2358,15,9,111.16,4,2,3,423
2359,124,13,101.62,3,3,3,333
2360,315,6,73.3,1,1,2,112
2361,88,10,59.900000000000006,3,3,2,332
2362,37,14,105.75,4,4,3,443
2363,66,11,156.6,3,3,4,334
2364,113,15,106.3,3,4,3,343
2365,192,17,158.6,2,4,4,244
2366,134,13,71.5,3,3,2,332
2368,49,8,53.8,4,2,2,422
2369,74,8,143.5,3,2,4,324
2370,109,19,178.26,3,4,4,344
2371,122,6,56.599999999999994,3,1,2,312
2372,118,6,19.6,3,1,1,311
2373,495,2,10.100000000000001,1,1,1,111
2374,190,14,154.29999999999995,2,4,4,244
2375,21,11,138.6,4,3,4,434
2376,216,8,93.0,2,2,3,223
2377,258,5,35.0,2,1,1,211
2378,259,4,49.00000000000001,2,1,2,212
2379,102,6,78.5,3,1,3,313
2380,82,16,177.75000000000003,3,4,4,344
2381,227,19,165.02,2,4,4,244
2383,86,12,147.29000000000002,3,3,4,334
2384,362,6,32.6,1,1,1,111
2386,25,12,83.0,4,3,3,433
2387,659,2,8.1,1,1,1,111
2388,406,8,60.62,1,2,2,122
2389,47,16,166.19,4,4,4,444
2390,131,14,51.56,3,4,2,342
2391,25,15,100.4,4,4,3,443
2392,15,7,50.800000000000004,4,2,2,422
